dur,proto,service,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sinpkt,dinpkt,sjit,djit,tcprtt,synack,ackdat,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_ltm,ct_srv_dst,attack_cat,label
0.1414001602680848,0.0,ssh,0.30000000000000004,0.19999999999999996,0.4387755102040816,0.0942261427425822,0.009244973315159357,0.0,0.0,0.05245311302115762,0.008579765427680531,0.08305262108993854,0.14271792171174724,0.16340370307116775,0.13674183918806215,0.16521739130434784,0.16521739130434782,0.10004436083886047,1.0,0.0,0.0,1.0,0.0,evasion_anti_forensics,1
0.25267720550739414,0.0,ssh,0.30000000000000004,0.19999999999999996,0.2040816326530612,0.35304731355252605,0.018114408307484894,0.0,0.0,0.013769088520595484,0.018142990531829488,0.13208046824874037,0.2533833606182445,0.15392228511149586,0.24626232015482738,0.23478260869565218,0.23478260869565215,0.20519529322964322,0.0,0.0,0.0,0.0,0.0,reconnaissance,0
0.3325198513877759,0.0,ssh,0.2,0.40000000000000013,0.31632653061224486,0.6032477947072975,0.023556671820733815,0.0,0.0,0.01625985789982956,0.02361846990220905,0.29045002313553414,0.2655997397701293,0.0,0.24845508640946776,0.5565217391304347,0.5565217391304347,0.31593106607077504,0.02074688796680496,0.0,0.0,0.02074688796680496,0.0,privilege_escalation,1
0.6357179281707583,0.0,ssh,0.7000000000000001,0.40000000000000013,0.4897959183673469,0.2756615878107458,0.005790447290544034,0.0,0.0,0.01322097562044274,0.005667596272280205,0.22655311454934055,0.5088523269943669,0.2209006690777686,0.4072801675224272,0.18260869565217389,0.18260869565217386,0.0426159907328985,0.04564315352697096,0.0,0.0,0.04564315352697096,0.0,reconnaissance,0
0.013877759160778028,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.5451082598235766,0.43437131672114254,0.0,0.0,0.6761488025736804,0.42987913847551235,0.006317464253379976,0.013215601119467324,0.0,0.009291315946930704,0.6608695652173913,0.6608695652173913,0.013508602092618187,0.6887966804979253,0.0,0.0,0.6887966804979253,0.0,zero_day_obfuscated_memory_attack,1
0.5682232097326437,0.0,ssh,0.1,0.6000000000000001,0.07142857142857142,0.4432638331996792,0.010092308003081227,0.0,0.0,0.0021559389046637814,0.010190766763087946,0.0,0.37786898541448366,0.0,0.338574848484041,0.8956521739130433,0.8956521739130434,0.33497560326876863,0.02074688796680496,0.0,0.0,0.02074688796680496,0.0,privilege_escalation,1
0.46124426313105554,0.0,ssh,0.5,0.19999999999999996,0.3877551020408163,0.3346030473135525,0.009557899330108222,0.0,0.0,0.014402116070661783,0.009466170922324537,0.2308895062018688,0.46265247296487,0.2089467954331082,0.466673742493776,0.408695652173913,0.40869565217391296,0.07861193943257573,0.04564315352697096,0.0,0.0,0.04564315352697096,0.0,reconnaissance,0
0.2196765498652291,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.06976744186046512,0.004636891482798828,0.0,0.0,0.0387388237202647,0.004117225689743476,0.0,0.2207588509764971,0.0,0.21271438793947473,0.3391304347826086,0.3391304347826086,0.33340988250144843,0.5394190871369295,0.0,0.0,0.5394190871369295,0.0,zero_day_covert_tunnel,1
0.8561593938952429,0.0,ssh,0.9,0.19999999999999996,0.6224489795918366,0.572373696872494,0.008820425062104805,0.0,0.0,0.01248951467022789,0.008747768030861528,0.20674074422425584,0.8563538121763461,0.09164395069089355,0.8613100138940822,0.4695652173913043,0.46956521739130436,0.18875381222354493,0.004149377593360981,0.0,0.0,0.004149377593360981,0.0,reconnaissance,0
0.008377649887083848,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011339358935743926,0.0,0.010466006867993193,0.16521739130434784,0.16521739130434782,0.0,0.5394190871369295,0.0,0.0,0.5394190871369295,0.0,zero_day_covert_tunnel,1
0.17953667953667954,0.0,ssh,0.5,0.19999999999999996,0.7551020408163265,0.11026463512429832,0.008892923523866338,0.0,0.0,0.07138485534243205,0.007939844192241535,0.0694338979806806,0.17996127795876063,0.0650496633489373,0.16992354554005287,0.34782608695652173,0.34782608695652173,0.07424194696792052,0.05394190871369292,0.0,0.0,0.05394190871369292,0.0,evasion_anti_forensics,1
0.143112114810228,0.0,ssh,0.4,0.19999999999999996,0.5816326530612245,0.23396150761828388,0.021799325941200723,0.0,0.0,0.06871490217102075,0.0210533732421786,0.07942271005075348,0.14374386162498545,0.05675936313596937,0.14074093975865803,0.34782608695652173,0.34782608695652173,0.05398688713903617,0.2987551867219917,0.0,0.0,0.2987551867219917,0.0,evasion_anti_forensics,1
0.003023238872295476,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007640602459014599,0.0,0.0034431744469678597,0.21739130434782608,0.21739130434782605,0.0,1.0,0.0,0.0,1.0,0.0,brute_force_only,1
0.008851169228527718,0.0,ssh,0.0,0.40000000000000013,0.0,0.009623095429029671,0.010732839473583562,0.0,0.0,0.0,0.010871862034644172,0.0,0.006780080209316856,0.0,0.004179548964871627,0.26956521739130435,0.2695652173913043,0.0,0.6390041493775933,0.0,0.0,0.6390041493775933,0.0,zero_day_buffer_overflow,1
0.06214030742332629,0.0,ssh,0.2,0.40000000000000013,0.2040816326530612,0.28568564554931836,0.057839463954191365,0.0,0.0,0.05418773766068528,0.05777773690288742,0.10968832966047824,0.047869506633423514,0.0,0.03706637984401797,0.4260869565217391,0.42608695652173906,0.017659962289826685,0.38174273858921165,0.0,0.0,0.38174273858921165,0.0,botnet_malware_download,1
0.25726670066292706,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.0545308740978348,0.003207243786092219,0.0,0.0,0.03313886249010913,0.002752864859746258,0.0,0.25531449869030964,0.0,0.24390220614815358,0.7130434782608696,0.7130434782608694,0.3917002093125696,0.5394190871369295,0.0,0.0,0.5394190871369295,0.0,zero_day_covert_tunnel,1
0.006155751438770306,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007689366359828826,0.0,0.007798582880584019,0.21739130434782608,0.21739130434782605,0.0,1.0,0.0,0.0,1.0,0.0,brute_force_only,1
0.003970277555183215,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004623372596060139,0.0,0.0032411136937386623,0.591304347826087,0.5913043478260869,0.0,0.38174273858921165,0.0,0.0,0.38174273858921165,0.0,brute_force_only,1
0.014314853937495443,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.5687650360866079,0.44120357632258445,0.0,0.0,0.6588486044213918,0.43705878617429644,0.006277589576611505,0.016234436979155185,0.0,0.006377792324178279,0.4434782608695652,0.44347826086956516,0.009482619513301848,0.6887966804979253,0.0,0.0,0.6887966804979253,0.0,zero_day_obfuscated_memory_attack,1
0.06665695344940628,0.0,ssh,0.30000000000000004,0.19999999999999996,0.4693877551020408,0.12489975942261428,0.0250361425945168,0.0,0.0,0.1165234795645683,0.023616661781383705,0.047481120779327125,0.06549882477539042,0.0933266025248377,0.05699734167984872,0.3652173913043478,0.36521739130434777,0.03139959600032711,1.0,0.0,0.0,1.0,0.0,botnet_malware_download,1
0.24608435929190645,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.03869286287089013,0.002526568539242589,0.0,0.0,0.03462791661755558,0.002041092948852522,0.0,0.24753373651637997,0.0,0.2372943014130634,0.7478260869565218,0.7478260869565216,0.3743888706198718,0.5394190871369295,0.0,0.0,0.5394190871369295,0.0,zero_day_covert_tunnel,1
0.36548408246521447,0.0,ssh,0.2,0.40000000000000013,0.36734693877551017,0.40797914995990375,0.014611442982021224,0.0,0.0,0.017192108501972198,0.014543422067230123,0.3877478519470517,0.29091360628172486,0.0,0.2291345996991441,0.3652173913043478,0.36521739130434777,0.2961769399994856,0.2987551867219917,0.0,0.0,0.2987551867219917,0.0,privilege_escalation,1
0.014861222408392218,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.6521651964715317,0.4888371984271914,0.0,0.0,0.6384297392227044,0.4856149668785456,0.00576834473557252,0.016697840036593366,0.0,0.008176503102557749,0.4782608695652174,0.47826086956521735,0.00566996343287378,0.6887966804979253,0.0,0.0,0.6887966804979253,0.0,zero_day_obfuscated_memory_attack,1
0.22091498506592847,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.03748997594226143,0.0027411751133294897,0.0,0.0,0.038524394614974825,0.0022001678425637152,0.0,0.2212213780357171,0.0,0.22168706962169785,0.3391304347826086,0.3391304347826086,0.3475204586398616,0.5394190871369295,0.0,0.0,0.5394190871369295,0.0,zero_day_covert_tunnel,1
