Cluster,Confidence
0,0.9558185
1,0.92573386
0,0.9555523
0,0.9416576
1,0.93150896
1,0.9333256
2,0.9585139
1,0.9318889
1,0.9333449
0,0.95582855
2,0.96005976
2,0.8873054
2,0.95130897
1,0.93335664
1,0.92926353
1,0.9285357
1,0.9318608
1,0.91313887
1,0.93317205
1,0.9072623
1,0.9318474
1,0.9295051
2,0.95667815
1,0.9038261
2,0.945723
0,0.95576346
1,0.9322698
1,0.9326119
2,0.9377977
1,0.9313173
2,0.7114673
1,0.9333003
0,0.95576864
0,0.9519716
1,0.9323863
0,0.95571804
0,0.95577246
0,0.95581025
1,0.93170696
1,0.91743916
0,0.9557319
0,0.92847437
2,0.9604644
1,0.6734995
0,0.9557729
0,0.9557791
1,0.9311231
0,0.95571524
0,0.9554305
1,0.9255037
0,0.9556175
0,0.9556046
0,0.95541
0,0.9558165
1,0.93332756
0,0.95565236
0,0.95541567
1,0.89115435
0,0.9557903
0,0.95576066
2,0.9525871
1,0.7346659
1,0.932904
0,0.9557578
0,0.95572174
2,0.95537823
0,0.9552429
2,0.9244325
1,0.80845153
1,0.93199027
1,0.93201286
0,0.9556835
2,0.94978726
1,0.9333448
0,0.9556796
0,0.95559543
0,0.95577854
0,0.955539
1,0.88289994
0,0.9557421
0,0.95553285
1,0.9332354
0,0.9106448
0,0.9556284
1,0.9333423
0,0.9557138
0,0.9555764
1,0.9297763
2,0.94888717
2,0.95473844
1,0.93294024
2,0.9508023
1,0.9274361
1,0.93112755
2,0.9590612
1,0.93169665
0,0.9558057
0,0.955816
1,0.9330417
1,0.93317485
2,0.9583017
0,0.9554579
0,0.9528552
0,0.95299464
1,0.9329917
0,0.95577854
0,0.95575917
0,0.9553021
0,0.955056
1,0.93329173
0,0.9557954
0,0.95581454
2,0.9036671
0,0.95573336
2,0.8952249
0,0.95577765
0,0.95562315
2,0.94391704
0,0.9557829
0,0.9553457
1,0.9329914
0,0.9557864
0,0.95543504
1,0.93184733
1,0.93059635
1,0.9205483
2,0.9594266
1,0.9320302
1,0.9326564
2,0.95808595
2,0.9505501
1,0.89236885
1,0.93068045
0,0.95579857
0,0.9557638
0,0.9557428
0,0.9557734
1,0.93339205
2,0.9570201
0,0.9556143
0,0.9556775
1,0.92897743
0,0.9557284
1,0.932998
1,0.93335664
0,0.955812
2,0.9065435
0,0.95565754
1,0.9197482
1,0.88527906
0,0.9558113
2,0.9259895
1,0.9317674
1,0.9318448
2,0.9604299
1,0.93313503
1,0.9330807
1,0.9332258
0,0.9557634
1,0.93159974
0,0.95576316
0,0.9556753
2,0.95697874
1,0.93311685
2,0.9040039
2,0.9386466
1,0.9296024
2,0.94006044
1,0.92714226
1,0.93241876
2,0.9321492
0,0.95543295
1,0.9281883
1,0.9296844
1,0.9282517
1,0.932585
2,0.90595317
0,0.955819
0,0.95582587
0,0.9557047
1,0.9310452
0,0.9557719
0,0.9556693
2,0.9603942
1,0.9328219
2,0.9412479
1,0.8530786
1,0.92835057
2,0.90510905
0,0.95569354
1,0.93189144
2,0.9239676
0,0.9558289
1,0.9323101
1,0.9333642
2,0.94860864
0,0.9557451
0,0.955743
0,0.95578635
1,0.7218278
0,0.9555417
0,0.95574844
1,0.89783245
1,0.9328362
0,0.9558164
2,0.9584981
0,0.95539284
1,0.9273399
1,0.9300862
