Latent_1,Latent_2,Cluster
2.1882482,1.9298611,1
2.3721144,2.0193675,1
-2.5798886,-0.101214305,0
-2.6299193,-0.052632824,0
-2.765276,-0.10371591,0
-2.6436508,-0.09507014,0
-2.7079375,-0.11178477,0
-2.579257,-0.07199384,0
-2.6615727,-0.07374342,0
-2.6438243,-0.032955006,0
5.1908083,3.4504933,2
-2.6505039,-0.083751336,0
-2.6236246,-0.059986547,0
7.0109954,4.216771,2
7.40446,4.8796306,2
6.884465,4.342613,2
-2.5881484,-0.07182862,0
-2.6587412,-0.0859008,0
4.5993867,2.9530358,1
-2.624801,-0.09531082,0
2.3459654,2.0256522,1
2.1347291,1.9477268,1
-2.5103965,0.13917921,0
3.1544664,2.2363338,1
-2.597698,-0.027703062,0
6.812152,4.2756844,2
2.3164213,1.9377626,1
-2.6438153,-0.0899203,0
7.8182907,4.938055,2
10.831925,6.173128,2
6.8869514,4.34946,2
7.8248715,4.7580886,2
2.0386446,1.9350531,1
2.1688282,2.0169861,1
-2.6082783,-0.086858585,0
7.3596754,4.5615354,2
8.4612465,5.271719,2
2.2933195,2.0694952,1
-2.7071388,-0.053831473,0
7.9148035,4.839599,2
7.060402,4.372634,2
2.1070185,1.8987883,1
-2.6949828,-0.09929092,0
2.2096899,1.7884412,1
1.9195805,1.9162076,1
-2.648556,-0.093751445,0
2.477096,1.9360054,1
-2.7105553,-0.12585141,0
-3.2373013,-0.3760478,0
2.0440192,1.8163594,1
2.1054332,1.9673537,1
7.332547,4.5577936,2
1.9891858,1.9359306,1
2.1358829,1.9297231,1
-2.6433337,-0.081293,0
7.000346,4.392975,2
6.0500264,3.8748176,2
7.6193047,4.661668,2
2.1249444,1.9369732,1
1.9445589,1.804079,1
2.4052522,1.9771332,1
1.9948592,2.021107,1
2.6340673,2.185179,1
2.1334977,2.0176253,1
1.6017737,1.6645075,1
1.9876631,1.933082,1
2.0018127,1.7564105,1
6.8515368,4.26246,2
1.6714801,1.4956533,1
7.736281,4.796434,2
-2.653458,-0.11838193,0
2.2033195,2.0699966,1
2.1496713,2.068863,1
7.9360204,4.846413,2
2.0343142,1.8133358,1
5.3075795,3.4494011,2
2.1002827,1.9493703,1
-2.674938,-0.09700848,0
-2.4678173,0.16416721,0
2.257846,1.9319571,1
-2.6055858,-0.040155485,0
-2.6570199,-0.04633178,0
-2.6604514,-0.08676101,0
1.9873185,1.9088601,1
2.5244823,2.2515073,1
-2.6236317,-0.033464447,0
-3.4456594,-0.62694484,0
7.169725,4.465345,2
3.9082081,2.8065588,1
-2.669221,-0.103510454,0
-2.6175444,-0.05247684,0
2.061183,2.137369,1
-2.58879,-0.0953318,0
-2.7320116,-0.12240429,0
1.7960505,2.0124311,1
-2.710261,-0.10109259,0
-2.7155597,-0.08099367,0
-2.5517447,-0.030672088,0
-2.6262677,-0.09164514,0
2.1427436,1.9890748,1
-2.7007093,-0.10828252,0
-2.5458233,-0.1165594,0
2.9001386,2.1723082,1
-2.6260126,-0.05196394,0
-2.6799033,-0.09088798,0
7.4644413,4.8057966,2
3.7407868,2.5717676,1
2.1141984,1.8725625,1
-2.665764,-0.11361195,0
-2.5887625,-0.072322026,0
6.807538,4.2461104,2
-2.5345504,-0.024540678,0
8.197374,4.9778237,2
3.2849,2.6884415,1
2.2626579,2.0254104,1
2.2309606,2.0656786,1
-2.5834801,-0.059410766,0
6.7127476,4.1246324,2
2.1183343,1.97938,1
-2.6925657,-0.048202947,0
-2.6648846,-0.0075452477,0
-2.6078985,-0.09592022,0
-2.7108881,-0.12899716,0
1.3645175,1.6239113,1
-2.680971,-0.10249634,0
-2.563258,-0.042789474,0
2.1839168,1.9457456,1
-1.8041923,0.30566925,0
-2.7026923,-0.046057418,0
2.131032,1.9859904,1
-2.596524,-0.04863824,0
-2.5620863,-0.093636766,0
1.9046547,1.9587013,1
7.639707,4.781316,2
7.5051355,4.6173954,2
2.0603318,1.9284886,1
7.625348,4.6876507,2
2.2659678,2.2327528,1
2.1292315,1.765872,1
6.925622,4.364788,2
2.1683345,1.7928692,1
-2.6245327,-0.061088756,0
-2.6280534,-0.094032004,0
2.2074573,1.9681414,1
2.1858604,1.9844427,1
7.2893505,4.63263,2
-2.736739,-0.093223706,0
-2.9051888,-0.1873845,0
-2.7971902,-0.3086158,0
2.1407123,1.8766698,1
-2.6256297,-0.047289744,0
-2.6818178,-0.07993759,0
-2.735502,-0.14731582,0
-2.7639844,-0.14962162,0
2.0979698,1.9670223,1
-2.6112058,-0.085819975,0
-2.654205,-0.09253313,0
6.1054573,4.055564,2
-2.599195,-0.05299087,0
6.0785995,3.9491436,2
-2.6627522,-0.052178934,0
-2.5694494,-0.06910397,0
7.50614,5.0834084,2
-2.6736057,-0.075304344,0
-2.54551,-0.026826754,0
2.1940203,2.0085034,1
-2.6312828,-0.1117201,0
-2.7392418,-0.09691633,0
2.2853305,1.9161217,1
2.0993357,1.7495683,1
2.5254421,2.153183,1
7.014536,4.2911463,2
2.1171691,1.8109491,1
2.2171516,2.0233057,1
6.88249,4.3298416,2
7.6279907,4.7003546,2
2.782465,2.3959103,1
2.1707587,1.7482591,1
-2.612106,-0.07901777,0
-2.6762614,-0.09787591,0
-2.5934703,-0.08232744,0
-2.6024559,-0.079291955,0
2.138963,1.9582127,1
6.8294306,4.3351383,2
-2.7122648,-0.09549321,0
-2.6104136,-0.026144937,0
2.389645,1.9960066,1
-2.606298,-0.04282351,0
2.1323562,1.8777102,1
2.1376898,1.9816679,1
-2.6516497,-0.06288977,0
6.209627,3.8971891,2
-2.6961386,-0.11465515,0
2.539933,2.15411,1
2.9300225,2.2478642,1
-2.6518338,-0.06251903,0
6.3939834,3.958602,2
1.9846103,1.9289683,1
1.9908273,1.9194411,1
7.0604715,4.392459,2
2.1938372,1.9302843,1
2.085928,1.9119824,1
2.186207,1.954877,1
-2.6803339,-0.08397497,0
2.225079,1.8088144,1
-2.6801236,-0.08617844,0
-2.5807016,-0.09810443,0
6.850692,4.286088,2
2.1791353,2.005243,1
6.1683598,3.9272518,2
7.8536024,4.9452915,2
1.9503541,1.8134664,1
7.8129416,4.943387,2
2.3872542,2.128982,1
2.1661515,2.0781617,1
7.972275,5.033988,2
-2.5513957,-0.12427135,0
2.3959367,2.0539033,1
1.97701,1.7858313,1
2.3093255,2.1759634,1
2.0297115,1.9352654,1
8.458843,5.2528286,2
-2.640923,-0.06398709,0
-2.6420481,-0.07100083,0
-2.6915958,-0.10184343,0
2.1473246,2.1525826,1
-2.6749423,-0.065580204,0
-2.6952422,-0.11161162,0
7.1624994,4.49763,2
2.0708065,1.8930134,1
7.808036,4.900198,2
3.1167953,2.4344163,1
1.947826,2.1764925,1
6.200473,3.8885603,2
-2.6859066,-0.04381253,0
2.0112891,1.8783265,1
8.13619,5.101799,2
-2.6372411,-0.07972111,0
2.009288,1.9714681,1
2.1259549,1.9394265,1
7.4320965,4.979901,2
-2.5942938,-0.07536836,0
-2.6768386,-0.10839678,0
-2.6724758,-0.077167526,0
0.6027668,1.2576634,1
-2.722434,-0.10357417,0
-2.6285331,-0.03648354,0
2.8380344,2.1510932,1
2.1632862,2.0471466,1
