dur,proto,service,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sinpkt
0.0048377414456725176,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008474875525265723,0.0,ssh,0.0,0.40000000000000013,0.0,0.014635124298315958,0.016452690978690607,0.0,0.0,0.0,0.01670684605442673,0.0
0.014089480560754262,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.7247393744987971,0.5584556693636656,0.0,0.0,0.6386036756432887,0.5572175625712243,0.004897919378924797
0.00402556587450122,0.0,ssh,0.0,0.40000000000000013,0.0,0.005813953488372093,0.010612913802243565,0.0,0.0,0.0,0.010776856558924644,0.0
0.0071330202337653165,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4250503195734313,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.03969526864474739,0.001505921581930366,0.0,0.0,0.019637887889727177,0.001225826429742155,0.0
0.0026837105830008127,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015643207740386314,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.4857658380112269,0.34623354235608567,0.0,0.0,0.5856873916777009,0.34253452255527084,0.006381983266962782
0.08866838518309263,0.0,ssh,0.5,0.19999999999999996,0.6632653061224489,0.09823576583801122,0.015786092381622176,0.0,0.0,0.12153114285268264,0.014152568074288819,0.02990743222545566
0.3502948550443165,0.0,ssh,0.30000000000000004,0.19999999999999996,0.4387755102040816,0.25,0.009528627494534914,0.0,0.0,0.02087860777452598,0.009353294970542514,0.17545637731658756
0.0025424626575797173,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2071047706486811,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.029270248596631916,0.0024215123822798096,0.0,0.0,0.03999824333598999,0.0018410366757493763,0.0
0.004696493520251421,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011264522052332354,0.0,ssh,0.0,0.40000000000000013,0.0,0.015437048917401764,0.013985700298370752,0.0,0.0,0.0,0.014201746872849447,0.0
0.6693386065892157,0.0,ssh,0.7000000000000001,0.19999999999999996,0.4897959183673469,0.2656375300721732,0.005329950079140517,0.0,0.0,0.012248601001164853,0.005223071595045932,0.20750262949437126
0.002330590769448074,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008404251562555176,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41579858045834955,0.0,ssh,0.30000000000000004,0.19999999999999996,0.4693877551020408,0.7921010425020047,0.02490735201338162,0.0,0.0,0.01884271193692677,0.02500103326522114,0.3801299819794379
0.003107454359264098,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
